Model,Folds,Grid_search,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,Accuracy_mean,Accuracy_std,Time,Pipeline_file
Gradient Boosting,5,True,0.6996851851851852,0.0437207907588782,0.4260925723254702,0.1825727651137373,0.5083907946917714,0.1538965858956847,0.6768532526475038,0.0250349647121786,4.053509473800659,saved_pipelines\Gradient_Boosting_pipeline_1763222822.pkl
XGBoost,5,True,0.6846608567647376,0.0573167603401023,0.4191809590941546,0.1668812779713155,0.5040268639824299,0.1410020859735189,0.670196671709531,0.0274157489623583,1.522494554519653,saved_pipelines\XGBoost_pipeline_1763222823.pkl
CatBoost,5,True,0.6352095073467114,0.0868116329366036,0.559686939234836,0.2676274953609222,0.5664698049173124,0.1716497813034469,0.6816944024205748,0.0243114183680492,7.714659690856934,saved_pipelines\CatBoost_pipeline_1763222831.pkl
Logistic Regression,5,True,0.5961279153286597,0.0637824804499181,0.5345638778985453,0.2307507653269836,0.5455809759217753,0.1508870325713032,0.6544629349470499,0.0320583418120318,5.133774995803833,saved_pipelines\Logistic_Regression_pipeline_1763223043.pkl
Random Forest,5,True,0.7885018331598809,0.0238266567964428,0.6674826911339624,0.2624408840396219,0.6942338208867092,0.1715411560515527,0.7906202723146747,0.0455830307661518,4.838334560394287,saved_pipelines\Random_Forest_pipeline_1763223048.pkl
Gradient Boosting,5,True,0.6944026882070659,0.0540320169436564,0.4331032564948537,0.1688917342088305,0.5174211635378857,0.139740118034341,0.6771558245083208,0.0271067914123146,4.401514291763306,saved_pipelines\Gradient_Boosting_pipeline_1763223052.pkl
XGBoost,5,True,0.6846608567647376,0.0573167603401023,0.4191809590941546,0.1668812779713155,0.5040268639824299,0.1410020859735189,0.670196671709531,0.0274157489623583,1.515583038330078,saved_pipelines\XGBoost_pipeline_1763223054.pkl
CatBoost,5,True,0.6352095073467114,0.0868116329366036,0.559686939234836,0.2676274953609222,0.5664698049173124,0.1716497813034469,0.6816944024205748,0.0243114183680492,8.325812816619873,saved_pipelines\CatBoost_pipeline_1763223062.pkl
Logistic Regression,5,True,0.6068665097225722,0.066226868284957,0.5262083292708712,0.2306427706371078,0.5450335441522249,0.1506112795215674,0.659304084720121,0.0324387516349485,4.61136269569397,saved_pipelines\Logistic_Regression_pipeline_1763223781.pkl
Random Forest,5,True,0.8804586954439451,0.0150244613194954,0.857991501342596,0.1091281818986438,0.8645440225806569,0.0517066254173343,0.8910741301059002,0.013898558641883,4.599969863891602,saved_pipelines\Random_Forest_pipeline_1763223785.pkl
