iter	Passed	Remaining
609	4369	2793
610	4376	2786
611	4383	2779
612	4390	2771
613	4398	2764
614	4404	2757
615	4412	2750
616	4419	2743
617	4426	2736
618	4435	2730
619	4444	2723
620	4451	2716
621	4459	2710
622	4469	2704
623	4477	2698
624	4485	2691
625	4493	2684
626	4500	2677
627	4509	2671
628	4518	2664
629	4526	2658
630	4533	2651
631	4541	2644
632	4549	2637
633	4557	2630
634	4565	2624
635	4573	2617
636	4580	2610
637	4586	2602
638	4594	2595
639	4600	2587
640	4607	2580
641	4613	2572
642	4621	2566
643	4629	2559
644	4636	2551
645	4643	2544
646	4649	2536
647	4656	2529
648	4663	2521
649	4670	2514
650	4677	2507
651	4683	2499
652	4690	2492
653	4696	2484
654	4703	2477
655	4710	2470
656	4717	2462
657	4726	2456
658	4734	2449
659	4742	2443
660	4749	2435
661	4757	2429
662	4764	2422
663	4772	2415
664	4779	2407
665	4787	2401
666	4794	2393
667	4802	2386
668	4808	2379
669	4816	2372
670	4823	2364
671	4829	2357
672	4838	2350
673	4844	2343
674	4853	2336
675	4861	2329
676	4870	2323
677	4877	2316
678	4886	2310
679	4893	2302
680	4901	2295
681	4908	2288
682	4916	2281
683	4922	2274
684	4929	2266
685	4937	2260
686	4945	2253
687	4954	2246
688	4963	2240
689	4969	2232
690	4977	2225
691	4984	2218
692	4991	2211
693	4999	2204
694	5006	2196
695	5014	2190
696	5021	2183
697	5029	2176
698	5036	2168
699	5044	2161
700	5050	2154
701	5057	2146
702	5064	2139
703	5070	2132
704	5078	2124
705	5084	2117
706	5091	2110
707	5098	2102
708	5104	2095
709	5112	2088
710	5118	2080
711	5126	2073
712	5133	2066
713	5141	2059
714	5150	2052
715	5159	2046
716	5168	2039
717	5177	2033
718	5184	2026
719	5193	2019
720	5201	2012
721	5208	2005
722	5216	1998
723	5226	1992
724	5233	1985
725	5241	1978
726	5248	1970
727	5256	1963
728	5262	1956
729	5270	1949
730	5277	1942
731	5283	1934
732	5291	1927
733	5298	1920
734	5305	1912
735	5312	1905
736	5319	1898
737	5326	1890
738	5332	1883
739	5339	1876
740	5346	1868
741	5353	1861
742	5360	1854
743	5368	1847
744	5375	1839
745	5381	1832
746	5388	1825
747	5395	1817
748	5402	1810
749	5408	1802
750	5415	1795
751	5422	1788
752	5428	1780
753	5436	1773
754	5443	1766
755	5450	1759
756	5458	1752
757	5465	1744
758	5472	1737
759	5478	1730
760	5485	1722
761	5492	1715
762	5500	1708
763	5507	1701
764	5514	1693
765	5521	1686
766	5527	1679
767	5535	1672
768	5541	1664
769	5549	1657
770	5556	1650
771	5563	1643
772	5569	1635
773	5576	1628
774	5584	1621
775	5591	1613
776	5599	1607
777	5605	1599
778	5613	1592
779	5620	1585
780	5628	1578
781	5635	1571
782	5644	1564
783	5652	1557
784	5659	1550
785	5666	1542
786	5672	1535
787	5681	1528
788	5687	1520
789	5695	1513
790	5701	1506
791	5708	1499
792	5715	1491
793	5722	1484
794	5729	1477
795	5736	1470
796	5743	1462
797	5750	1455
798	5757	1448
799	5763	1440
800	5770	1433
801	5777	1426
802	5784	1419
803	5792	1412
804	5799	1404
805	5807	1397
806	5814	1390
807	5821	1383
808	5828	1376
809	5837	1369
810	5845	1362
811	5853	1355
812	5861	1348
813	5868	1341
814	5876	1334
815	5884	1326
816	5892	1319
817	5899	1312
818	5908	1305
819	5916	1298
820	5924	1291
821	5931	1284
822	5939	1277
823	5946	1270
824	5955	1263
825	5963	1256
826	5971	1249
827	5977	1241
828	5986	1234
829	5993	1227
830	6002	1220
831	6009	1213
832	6017	1206
833	6024	1199
834	6033	1192
835	6040	1185
836	6048	1177
837	6057	1171
838	6065	1163
839	6072	1156
840	6080	1149
841	6088	1142
842	6096	1135
843	6104	1128
844	6111	1120
845	6118	1113
846	6125	1106
847	6133	1099
848	6139	1092
849	6147	1084
850	6154	1077
851	6161	1070
852	6169	1063
853	6176	1055
854	6183	1048
855	6190	1041
856	6197	1034
857	6203	1026
858	6211	1019
859	6218	1012
860	6225	1004
861	6232	997
862	6239	990
863	6246	983
864	6252	975
865	6260	968
866	6270	961
867	6281	955
868	6290	948
869	6299	941
870	6307	934
871	6315	927
872	6325	920
873	6332	912
874	6339	905
875	6347	898
876	6353	891
877	6362	884
878	6368	876
879	6376	869
880	6382	862
881	6390	854
882	6397	847
883	6404	840
884	6411	833
885	6417	825
886	6425	818
887	6431	811
888	6438	803
889	6444	796
890	6451	789
891	6458	782
892	6465	774
893	6472	767
894	6478	760
895	6485	752
896	6495	745
897	6502	738
898	6510	731
899	6517	724
900	6524	716
901	6530	709
902	6537	702
903	6544	695
904	6552	687
905	6558	680
906	6565	673
907	6572	665
908	6578	658
909	6585	651
910	6592	644
911	6599	636
912	6607	629
913	6614	622
914	6621	615
915	6628	607
916	6635	600
917	6642	593
918	6650	586
919	6657	578
920	6664	571
921	6670	564
922	6677	557
923	6684	549
924	6692	542
925	6699	535
926	6706	528
927	6714	520
928	6721	513
929	6728	506
930	6735	499
931	6741	491
932	6748	484
933	6755	477
934	6762	470
935	6768	462
936	6775	455
937	6783	448
938	6789	441
939	6796	433
940	6803	426
941	6811	419
942	6818	412
943	6825	404
944	6832	397
945	6838	390
946	6845	383
947	6852	375
948	6859	368
949	6865	361
950	6871	354
951	6879	346
952	6885	339
953	6893	332
954	6900	325
955	6906	317
956	6913	310
957	6919	303
958	6926	296
959	6933	288
960	6939	281
961	6946	274
962	6952	267
963	6959	259
964	6965	252
965	6973	245
966	6980	238
967	6987	230
968	6994	223
969	7000	216
970	7007	209
971	7015	202
972	7021	194
973	7029	187
974	7035	180
975	7044	173
976	7051	165
977	7060	158
978	7066	151
979	7075	144
980	7082	137
981	7090	129
982	7097	122
983	7104	115
984	7111	108
985	7120	101
986	7128	93
987	7137	86
988	7144	79
989	7151	72
990	7158	65
991	7166	57
992	7174	50
993	7180	43
994	7188	36
995	7195	28
996	7203	21
997	7210	14
998	7218	7
999	7225	0
